Index Trading Symbol;Index Name;Index ISIN;Symbol;TRUENAMES;NAME;TICKER;Transparency Level;Exchange;Index Value (close);Index Settlement Value (Future);Index Settlement Value (Kassa);Index Settlement Value (Option);Constant A (last regular rebalancing) (Index);Kt (last regular rebalancing) (Index);Market Cap. (in Mio.) (last regular rebalancing) (Index);# Constituents;Performance (1d) (Index);Performance (1m) (Index);Performance (12m) (Index);Performance (ytd) (Index);Volatility (1m) (Index);Volatility (12m) (Index);Sharpe Ratio (1m) (Index);Sharpe Ratio (12m) (Index);pit;pi0 (last regular rebalancing);qi0 (last regular rebalancing);qit (last regular rebalancing);ffit (last regular rebalancing);ci (last regular rebalancing);Market Cap. (in Mio.) (last regular rebalancing);Weight (last regular rebalancing);Fi (last regular rebalancing);Fi (norm 1m EUR) (last regular rebalancing);Fi (norm Index) (last regular rebalancing);Quintil;Performance (1d);Performance (1m);Performance (12m);Performance (ytd);Volatility (1m);Volatility (12m);Sharpe Ratio (1m);Sharpe Ratio (12m);Beta (1m);Beta (12m);Correlation (1m);Correlation (12m)
MKDX;MDAX KURSINDEX;DE0008467531;AIR;AIRBUS SE;NL0000235190;AIR.DE;Prime Standard;XETRA;18.436,59;AIR.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;115,18;19;811.198.500;432.111.517;0,7395;1;36.019,28;10,86%;39,608328;963,665746;17,76671;1;2,49%;7,44%;80,45%;26,13%;35,31%;40,40%;0,7152;1,9832;1,8327;1,6235;0,6647;0,5932
MKDX;MDAX KURSINDEX;DE0008467531;AIXA;AIXTRON SE NA O.N.;DE000A0WMPJ6;AIXA.DE;Prime Standard;XETRA;18.436,59;AIXA.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;21,13;107,37;1.000.000;112.927.320;0,9904;1;2.471,74;0,75%;13,863157;337,288905;6,218457;4;3,22%;-8,84%;111,00%;49,17%;32,12%;46,34%;-0,9234;2,3828;1,6689;1,34;0,6654;0,4268
MKDX;MDAX KURSINDEX;DE0008467531;AOX;ALSTRIA OFFICE REIT-AG;DE000A0LD2U1;AOX.DE;Prime Standard;XETRA;18.436,59;AOX.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;18,06;16,3;56.000.000;177.792.747;1;1,000678;2.780,78;0,84%;22,052655;536,53838;9,891938;3;2,32%;15,33%;50,25%;27,71%;40,79%;26,85%;1,2703;1,8677;1,205;0,6869;0,3783;0,3776
MKDX;MDAX KURSINDEX;DE0008467531;AT1;AROUNDTOWN EO-,01;LU1673108939;AT1.DE;Prime Standard;XETRA;18.436,59;AT1.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;6,678;4,62;853.354.579;1.537.025.609;0,6471;1;6.836,94;2,06%;123,28351;2.999,47;55,300047;2;1,55%;3,86%;41,96%;12,89%;28,21%;34,72%;0,4672;1,2077;1,6237;1,0169;0,7371;0,4323
MKDX;MDAX KURSINDEX;DE0008467531;NDA;AURUBIS AG;DE0006766504;NDA.DE;Prime Standard;XETRA;18.436,59;NDA.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;85,68;13,04;32.000.000;44.956.723;0,7211;1;2.480,00;0,75%;4,018303;97,764806;1,80245;4;-1,86%;9,90%;47,35%;37,25%;29,15%;30,90%;1,1506;1,5299;1,3732;1,0089;0,6033;0,4819
MKDX;MDAX KURSINDEX;DE0008467531;AG1;AUTO1 GROUP SE  INH O.N.;DE000A2LQ884;AG1.DE;Prime Standard;XETRA;18.436,59;AG1.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;41,32;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3;2,79%;18,97%;n/a;n/a;24,53%;n/a;2,6139;n/a;0,5903;n/a;0,3081;n/a
MKDX;MDAX KURSINDEX;DE0008467531;BC8;BECHTLE AG O.N.;DE0005158703;BC8.DE;Prime Standard;XETRA;18.436,59;BC8.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;170,55;31,62;20.000.000;42.000.000;0,6498;1;4.130,58;1,25%;3,38284;82,304087;1,517407;3;1,49%;9,86%;5,68%;-3,56%;15,51%;29,80%;2,1526;0,1994;0,7716;1,1789;0,6372;0,584
MKDX;MDAX KURSINDEX;DE0008467531;BEI;BEIERSDORF AG O.N.;DE0005200000;BEI.DE;Prime Standard;XETRA;18.436,59;BEI.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;100,85;219,86;3.469.812;252.000.000;0,3883;1;10.103,18;3,05%;12,128872;295,093969;5,440527;1;-0,44%;-1,80%;-0,40%;7,62%;12,29%;20,49%;-0,4814;-0,0047;0,4866;0,563;0,5071;0,4056
MKDX;MDAX KURSINDEX;DE0008467531;BNR;BRENNTAG SE NA O.N.;DE000A1DAHH0;BNR.DE;Prime Standard;XETRA;18.436,59;BNR.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;84;51,1;51.500.000;154.500.000;1;1;11.933,58;3,60%;19,150538;465,930227;8,590165;1;-0,64%;6,44%;57,94%;35,00%;13,24%;21,30%;1,6504;2,7126;0,4812;0,7865;0,4653;0,5449
MKDX;MDAX KURSINDEX;DE0008467531;COK;CANCOM SE O.N.;DE0005419105;COK.DE;Prime Standard;XETRA;18.436,59;COK.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;51,24;21,5;1.800.000;38.548.001;1;1;1.911,98;0,58%;4,77809;116,250349;2,14326;5;0,67%;0,72%;5,38%;14,62%;23,67%;34,08%;0,1093;0,1654;1,5076;1,3082;0,8155;0,5666
MKDX;MDAX KURSINDEX;DE0008467531;AFX;CARL ZEISS MEDITEC AG;DE0005313704;AFX.DE;Prime Standard;XETRA;18.436,59;AFX.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;186,65;34,5;6.000.000;89.440.570;0,4086;1;5.768,69;1,74%;4,529867;110,211096;2,031917;2;2,19%;12,88%;112,30%;71,97%;18,18%;25,75%;2,3966;4,3376;0,519;0,8796;0,3655;0,5041
MKDX;MDAX KURSINDEX;DE0008467531;CBK;COMMERZBANK AG;DE000CBK1001;CBK.DE;Prime Standard;XETRA;18.436,59;CBK.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;5,357;109,42;20.799.181;1.252.357.634;0,7939;1;6.112,63;1,84%;123,238571;2.998,38;55,27989;2;-0,35%;-12,14%;17,09%;1,73%;27,06%;41,59%;-1,506;0,415;1,0752;0,8976;0,5088;0,3185
